game_name,player,period,timestamp_seconds,sitaution_type,detailable_type,shot_type,expected_goal_value,goal,x_shot,y_shot,on_net,net_x_coord,net_y_coord,blocked_by_opponent,one_timer,goalie_blocking_object
2018-10-26 - Erie Otters at Guelph Storm,Danial Singer,1,1191,5 on 5,Shot,Wristshot,0.0059215,f,137,34,t,9,1,f,f,stick
2018-10-26 - Erie Otters at Guelph Storm,Kurtis Henry,1,1096,5 on 5,Shot,Wristshot,0.0064676,f,131,68,f,,,t,f,
2018-10-26 - Erie Otters at Guelph Storm,Brendan Sellan,1,1037,5 on 5,Shot,Wristshot,0.0552209,f,165,24,t,57,4,f,f,left_pad
2018-10-26 - Erie Otters at Guelph Storm,Brendan Sellan,1,1036,5 on 5,Shot,Snapshot,0.2364925,f,180,45,t,58,2,f,f,left_pad
2018-10-26 - Erie Otters at Guelph Storm,Jack Duff,1,976,5 on 5,Shot,Snapshot,0.0049324,f,137,3,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Ryan Martin,1,927,5 on 5,Shot,Snapshot,0.0064676,f,136,78,t,20,2,f,f,right_pad
2018-10-26 - Erie Otters at Guelph Storm,Emmett Sproule,1,905,5 on 5,Shot,Wristshot,0.0123865,f,179,65,t,29,25,f,f,right_shoulder
2018-10-26 - Erie Otters at Guelph Storm,Jamie Drysdale,1,887,5 on 5,Shot,Snapshot,0.0057339,f,132,83,t,57,26,f,t,glove
2018-10-26 - Erie Otters at Guelph Storm,Hayden Fowler,1,842,5 on 5,Shot,Wrap Around,0.0851206,f,187,48,f,,,t,f,
2018-10-26 - Erie Otters at Guelph Storm,Hayden Fowler,1,584,5 on 5,Shot,Wristshot,0.0486891,f,161,63,t,29,7,f,f,right_pad
2018-10-26 - Erie Otters at Guelph Storm,Maxim Golod,1,520,5 on 5,Shot,Wristshot,0.0093801,f,165,74,f,,,t,f,right_pad
2018-10-26 - Erie Otters at Guelph Storm,Kurtis Henry,1,320,5 on 5,Shot,Snapshot,0.1153846,f,177,26,f,,,t,t,
2018-10-26 - Erie Otters at Guelph Storm,Chad Yetman,1,317,5 on 5,Shot,Snapshot,0.008872,f,166,18,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Gera Poddubnyi,1,253,5 on 5,Shot,Snapshot,0.0073733,f,160,6,t,13,25,f,f,torso
2018-10-26 - Erie Otters at Guelph Storm,Gera Poddubnyi,1,30,5 on 5,Shot,Wristshot,0.0307125,f,187,64,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Danial Singer,2,1189,5 on 5,Shot,Snapshot,0.0059215,f,141,62,t,39,3,f,f,left_pad
2018-10-26 - Erie Otters at Guelph Storm,Maxim Golod,2,1122,5 on 5,Shot,Snapshot,0.0384615,f,177,31,f,,,t,f,
2018-10-26 - Erie Otters at Guelph Storm,Chad Yetman,2,987,5 on 5,Shot,Wristshot,0.0650939,t,177,52,t,68,33,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Daniel D'Amato,2,962,5 on 5,Shot,Snapshot,0.0150651,f,168,71,t,38,1,f,f,stick
2018-10-26 - Erie Otters at Guelph Storm,Petr Cajka,2,823,5 on 5,Shot,Slapshot,0.0253293,f,157,52,f,,,t,t,
2018-10-26 - Erie Otters at Guelph Storm,Chad Yetman,2,728,5 on 5,Shot,Snapshot,0.1991435,t,178,39,t,68,31,f,t,
2018-10-26 - Erie Otters at Guelph Storm,Daniel D'Amato,2,692,5 on 5,Shot,Snapshot,0.0115562,f,175,15,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Luke Beamish,2,680,5 on 5,Shot,Snapshot,0.0064676,f,134,76,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Maxim Golod,2,572,5 on 4,Shot,Wristshot,0.0253521,f,148,41,t,54,21,f,f,glove
2018-10-26 - Erie Otters at Guelph Storm,Jack Duff,2,555,5 on 4,Shot,Snapshot,0.0267627,f,128,42,t,61,22,f,t,glove
2018-10-26 - Erie Otters at Guelph Storm,Chad Yetman,2,520,5 on 5,Shot,Wristshot,0.0123865,f,182,72,t,69,22,f,f,left_shoulder
2018-10-26 - Erie Otters at Guelph Storm,Gera Poddubnyi,2,511,5 on 5,Shot,Snapshot,0.008872,f,171,6,f,,,t,f,
2018-10-26 - Erie Otters at Guelph Storm,Petr Cajka,2,424,5 on 4,Shot,Snapshot,0.0377685,f,149,34,f,,,t,f,
2018-10-26 - Erie Otters at Guelph Storm,Kyle Maksimovich,2,412,5 on 4,Shot,Wristshot,0.0290581,f,160,67,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Hayden Fowler,2,373,4 on 4,Shot,Wristshot,0.0343137,f,157,58,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Chad Yetman,2,228,5 on 5,Shot,Wristshot,0.0831469,f,172,35,t,17,2,f,f,right_pad
2018-10-26 - Erie Otters at Guelph Storm,Brendan Hoffmann,2,202,5 on 5,Shot,Snapshot,0.0026667,f,150,80,t,51,1,f,f,stick
2018-10-26 - Erie Otters at Guelph Storm,Marcus Gillard,2,197,5 on 5,Shot,Wristshot,0.0049324,f,130,1,f,,,f,f,
2018-10-26 - Erie Otters at Guelph Storm,Jamie Drysdale,2,193,5 on 5,Shot,Slapshot,0.0054285,f,153,72,t,20,5,f,f,right_pad
2018-10-26 - Erie Otters at Guelph Storm,Brendan Hoffmann,2,145,5 on 5,Shot,Wristshot,0.0111554,f,172,72,t,71,24,f,f,glove
2018-10-26 - Erie Otters at Guelph Storm,Gera Poddubnyi,2,47,5 on 5,Shot,Wristshot,0.0059215,f,141,55,t,55,27,f,f,glove
