Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
A.J. Greer,COL,LW,15,1,1,2,-2,9,0,0,0,20,5,20.1,1.34
Aaron Ekblad,FLA,D,82,13,24,37,1,180,5,5,10,114,88,270.5,3.298780488
Adam Clendening,CLS,D,4,0,0,0,1,3,0,0,0,1,3,3.7,0.925
Adam Cracknell,FA,C,2,0,0,0,-1,3,0,0,0,6,0,3.7,1.85
Adam Erne,DET,LW,65,7,13,20,10,70,2,0,2,159,26,174.5,2.684615385
Adam Gaudette,VAN,C,56,5,7,12,-8,55,0,2,2,48,15,80.5,1.4375
Adam Henrique,ANH,C,82,18,24,42,-5,122,8,5,13,78,71,235.8,2.875609756
Adam Johnson,PIT,C,6,0,2,2,2,3,0,0,0,11,3,13.2,2.2
Adam Larsson,EDM,D,82,3,17,20,-28,117,0,0,0,256,128,267.8,3.265853659
Adam Lowry,WPG,LW,78,12,11,23,6,105,0,0,0,223,49,239,3.064102564
Adam McQuaid,FA,D,50,3,4,7,2,28,0,0,0,122,88,134.2,2.684
Adam Pelech,NYI,D,78,5,16,21,22,110,0,0,0,149,116,234.5,3.006410256
Adrian Kempe,LA,C,81,12,16,28,-10,118,0,4,4,86,21,167.7,2.07037037
Alan Quine,CGY,C,13,3,2,5,0,11,1,0,1,14,2,26.4,2.030769231
Alec Martinez,LA,D,60,4,14,18,-2,78,0,2,2,78,135,178.7,2.978333333
Aleksander Barkov,FLA,C,82,35,61,96,-3,206,13,18,31,28,61,383.4,4.675609756
Alex Biega,DET,D,41,2,14,16,0,91,0,1,1,101,43,143.4,3.497560976
Alex Chiasson,EDM,RW,73,22,16,38,-1,123,8,7,15,85,31,219.7,3.009589041
Alex DeBrincat,CHI,RW,82,41,35,76,0,220,13,11,24,35,26,335.5,4.091463415
Alex Formenton,OTT,LW,9,1,0,1,-2,16,0,0,0,11,7,17.4,1.933333333
Alex Galchenyuk,PIT,RW,72,19,22,41,-19,159,9,12,21,62,34,224.1,3.1125
Alex Goligoski,ARI,D,76,3,24,27,-7,102,1,6,7,79,154,217.8,2.865789474
Alex Iafallo,LA,C,82,15,18,33,-17,148,2,4,6,87,54,208.2,2.53902439
Alex Kerfoot,TOR,C,78,15,27,42,-9,116,4,12,16,22,29,182.4,2.338461538
Alex Killorn,TB,C,82,18,22,40,22,153,2,3,5,88,23,230.7,2.813414634
Alex Ovechkin,WAS,LW,81,51,38,89,7,338,18,10,28,223,41,527.7,6.514814815
Alex Petrovic,BOS,D,35,0,2,2,-15,47,0,0,0,116,53,99.8,2.851428571
Alex Pietrangelo,STL,D,71,13,28,41,2,168,3,12,15,62,139,278.7,3.925352113
Alex Tuch,VGK,RW,74,20,32,52,13,180,3,3,6,92,40,274.5,3.709459459
Alexander Edler,VAN,D,56,10,24,34,3,128,4,13,17,127,166,294.2,5.253571429
Alexander Nylander,CHI,RW,12,2,2,4,-4,16,1,0,1,1,1,16.4,1.366666667
Alexander Radulov,DAL,RW,70,29,43,72,22,209,7,16,23,60,83,362.1,5.172857143
Alexander Steen,STL,LW,65,10,17,27,2,114,2,3,5,55,50,168.1,2.586153846
Alexander Wennberg,CLS,C,75,2,23,25,-1,64,1,5,6,34,32,116.1,1.548
Alexandre Fortin,CHI,C,24,3,3,6,-6,29,0,0,0,21,7,37.6,1.566666667
