Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
Aaron Ekblad,FLA,D,40,5,18,23,11,96,0,3,3,17,53,132.9,3.3225
Aaron Ness,ARI,D,18,0,1,1,1,9,0,0,0,16,13,20.6,1.144444444
Adam Boqvist,CHI,D,18,2,3,5,-6,25,0,2,2,10,15,33.5,1.861111111
Adam Brooks,TOR,C,3,0,1,1,1,1,0,0,0,0,1,3.4,1.133333333
Adam Erne,DET,LW,34,2,0,2,-17,45,0,0,0,97,18,73,2.147058824
Adam Fox,NYR,D,41,5,17,22,3,73,1,9,10,17,53,124.7,3.041463415
Adam Gaudette,VAN,C,32,8,10,18,-2,39,4,4,8,19,13,82.6,2.58125
Adam Henrique,ANH,C,42,14,10,24,2,100,2,2,4,40,15,134.5,3.202380952
Adam Johnson,PIT,C,7,1,1,2,-1,5,0,0,0,4,3,10,1.428571429
Adam Larsson,EDM,D,22,0,2,2,-11,25,0,0,0,34,44,47.5,2.159090909
Adam Lowry,WPG,LW,40,4,5,9,0,57,0,0,0,112,21,111.3,2.7825
Adam Pelech,NYI,D,38,1,8,9,4,49,0,0,0,81,83,122.6,3.226315789
Adrian Kempe,LA,C,42,8,9,17,-2,84,1,2,3,48,9,106.1,2.526190476
Alan Quine,CGY,C,9,1,0,1,-1,12,0,0,0,6,2,11.3,1.255555556
Alec Martinez,LA,D,25,0,5,5,-2,37,0,1,1,17,58,62.3,2.492
Aleksander Barkov,FLA,C,42,13,32,45,7,112,6,9,15,12,18,181.3,4.316666667
Aleksi Saarela,FLA,C,3,0,0,0,0,3,0,0,0,0,1,1.7,0.566666667
Alex Biega,DET,D,21,0,1,1,-2,16,0,0,0,47,18,39.9,1.9
Alex Chiasson,EDM,RW,38,4,8,12,-1,57,3,4,7,33,11,79.3,2.086842105
Alex DeBrincat,CHI,RW,43,10,20,30,-2,121,6,3,9,45,15,156.4,3.637209302
Alex Galchenyuk,PIT,RW,33,4,10,14,-3,58,2,3,5,28,9,77.2,2.339393939
Alex Goligoski,ARI,D,44,3,21,24,7,68,2,7,9,60,83,162.2,3.686363636
Alex Iafallo,LA,C,43,8,15,23,-4,85,4,2,6,32,26,121,2.813953488
Alex Kerfoot,TOR,C,38,7,10,17,3,57,1,2,3,32,26,97.3,2.560526316
Alex Killorn,TB,C,39,16,19,35,8,86,7,5,12,29,11,156.4,4.01025641
Alex Ovechkin,WAS,LW,43,24,16,40,-13,200,9,4,13,122,15,259,6.023255814
Alex Pietrangelo,STL,D,43,12,23,35,8,136,5,12,17,22,49,192.9,4.486046512
Alex Tuch,VGK,RW,28,6,7,13,-5,58,2,3,5,30,13,79.2,2.828571429
Alexander Edler,VAN,D,32,4,16,20,4,70,1,5,6,63,98,160.5,5.015625
Alexander Nylander,CHI,RW,39,5,9,14,-9,59,0,2,2,20,10,69.1,1.771794872
Alexander Radulov,DAL,RW,39,12,15,27,14,97,6,2,8,32,31,151.3,3.879487179
Alexander Steen,STL,LW,27,0,7,7,8,38,0,0,0,10,28,52.2,1.933333333
Alexander Volkov,TB,LW,4,0,0,0,-5,3,0,0,0,5,1,1.7,0.425
Alexander Wennberg,CLS,C,41,2,12,14,-5,54,1,4,5,12,24,72.1,1.758536585
Alexandre Carrier,NSH,D,1,0,0,0,1,1,0,0,0,1,0,1.4,1.4
Alexandre Texier,CLS,C,36,6,7,13,3,49,0,1,1,20,7,67.6,1.877777778
Anders Bjork,BOS,LW,35,6,5,11,0,48,1,0,1,27,13,68.2,1.948571429
