Name,Team,Pos,Games,G,GPG,A,APG,Pts,ptsPG,PLMI,PLMIPG,PIM,PIMPG,SOG,SOGPG,GWG,PPG,PPGPG,PPA,PPAPG,PPP,PPPPG,SHG,SHGPG,SHA,SHAPG,Hits,HitsPG,BS,BSPG
Nikita Kucherov,TB,RW,82,41,0.5,87,1.06097561,128,1.56097561,24,0.292682927,62,0.756097561,246,3,8,15,0.182926829,33,0.402439024,48,0.585365854,0,0,0,0,44,0.536585366,31,0.37804878
Connor McDavid,EDM,C,78,41,0.525641026,75,0.961538462,116,1.487179487,3,0.038461538,20,0.256410256,240,3.076923077,9,9,0.115384615,24,0.307692308,33,0.423076923,1,0.012820513,1,0.012820513,39,0.5,30,0.384615385
Patrick Kane,CHI,RW,81,44,0.543209877,66,0.814814815,110,1.358024691,2,0.024691358,22,0.271604938,341,4.209876543,7,9,0.111111111,21,0.259259259,30,0.37037037,0,0,0,0,21,0.259259259,18,0.222222222
Leon Draisaitl,EDM,C,82,50,0.609756098,55,0.670731707,105,1.280487805,2,0.024390244,52,0.634146341,231,2.817073171,5,16,0.195121951,13,0.158536585,29,0.353658537,3,0.036585366,0,0,57,0.695121951,26,0.317073171
Brad Marchand,BOS,LW,79,36,0.455696203,64,0.810126582,100,1.265822785,15,0.189873418,96,1.215189873,231,2.924050633,9,10,0.126582278,24,0.303797468,34,0.430379747,3,0.037974684,4,0.050632911,46,0.582278481,19,0.240506329
Sidney Crosby,PIT,C,79,35,0.443037975,65,0.82278481,100,1.265822785,18,0.227848101,36,0.455696203,220,2.784810127,3,12,0.151898734,17,0.215189873,29,0.367088608,0,0,2,0.025316456,85,1.075949367,43,0.544303797
Nathan MacKinnon,COL,C,82,41,0.5,58,0.707317073,99,1.207317073,20,0.243902439,34,0.414634146,365,4.451219512,6,12,0.146341463,25,0.304878049,37,0.451219512,0,0,0,0,54,0.658536585,31,0.37804878
Johnny Gaudreau,CGY,LW,82,36,0.43902439,63,0.768292683,99,1.207317073,18,0.219512195,24,0.292682927,245,2.987804878,8,6,0.073170732,21,0.256097561,27,0.329268293,0,0,0,0,12,0.146341463,12,0.146341463
Steven Stamkos,TB,C,82,45,0.548780488,53,0.646341463,98,1.195121951,4,0.048780488,37,0.451219512,234,2.853658537,6,19,0.231707317,21,0.256097561,40,0.487804878,2,0.024390244,0,0,72,0.87804878,40,0.487804878
Aleksander Barkov,FLA,C,82,35,0.426829268,61,0.743902439,96,1.170731707,-3,-0.036585366,8,0.097560976,206,2.512195122,5,13,0.158536585,18,0.219512195,31,0.37804878,0,0,1,0.012195122,28,0.341463415,61,0.743902439
Mitch Marner,TOR,C,82,26,0.317073171,68,0.829268293,94,1.146341463,22,0.268292683,22,0.268292683,233,2.841463415,5,3,0.036585366,18,0.219512195,21,0.256097561,1,0.012195122,2,0.024390244,29,0.353658537,43,0.524390244
Brayden Point,TB,C,79,41,0.518987342,51,0.64556962,92,1.164556962,27,0.341772152,28,0.35443038,191,2.417721519,7,20,0.253164557,15,0.189873418,35,0.443037975,0,0,0,0,31,0.392405063,43,0.544303797
